Parcel PIN,Unit Type,GIS Loud ID,Permit Year Issued,Planning Subarea,Project Subdivision,Town,Election District,Housing Units,POINT_X_SP,POINT_Y_SP
058304963000,MFS,248801,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780379.08,7066906.24
058304963000,MFS,248803,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780368.43,7066904.786
058304963000,MFS,248805,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780356.49,7066903.156
058304963000,MFS,248807,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780343.89,7066901.436
058304963000,MFS,248808,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780308.8,7066896.644
058304963000,MFS,248810,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780273.02,7066891.76
058304963000,MFS,248812,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780286.56,7066893.609
058304963000,MFS,248814,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780247.04,7066891.01
058304963000,MFS,248836,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780452.43,7066916.254
058304963000,MFS,248838,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780440.28,7066914.595
058304963000,MFS,248866,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780426.21,7066912.674
058304963000,MFS,248868,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780415.74,7066911.245
058304963000,MFS,248870,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780402.5,7066909.437
058304963000,MFS,248872,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780391.67,7066907.959
058304963000,MFS,248875,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780259.13,7066892.184
058304963000,MFS,248877,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780216.67,7066849.813
058304963000,MFS,248879,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780217.05,7066838.227
058304963000,MFS,248881,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780231.52,7066824.493
058304963000,MFS,248884,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780321.24,7066898.343
058304963000,MFS,248886,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780334.13,7066900.102
058304963000,MFS,248888,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780296.13,7066894.915
058304963000,MFS,248941,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780434.85,7066742.231
058304963000,MFS,248943,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780433.54,7066751.837
058304963000,MFS,248945,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780431.8,7066764.559
058304963000,MFS,248947,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780430.43,7066774.581
058304963000,MFS,249007,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780428.88,7066785.953
058304963000,MFS,249009,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780426.86,7066800.766
058304963000,MFS,249011,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780425.58,7066810.091
058304963000,MFS,249013,8/1/16,ASHBRN,ONE LOUDOUN LANDBAY A9,,BRDRUN,1,11780424.14,7066820.677
059388975000,MFA,233813,2/1/16,ASHBRN,ASHBURN VILLAGE,,BRDRUN,22,11779098.53,7062000.191
059390154000,SFA,243042,7/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779011.65,7062548.748
059390452000,SFA,243038,7/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779046.65,7062528.412
059390751000,SFA,243102,7/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779074.19,7062512.116
059391049000,SFA,243032,7/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779108.5,7062491.061
059391428000,SFA,243094,8/1/16,ASHBRN,ASHBURN VILLAGE LANDBAY 1,,BRDRUN,1,11779141.98,7062285.47
